id,tags
1786,Завтраки
1786,Китайская кухня
1786,Омлет
1787,Напитки
1787,Авторская кухня
1787,Коктейли
1789,Супы
1789,Авторская кухня
1789,Вегетарианская еда
1789,Свекольник
1794,Салаты
1794,Авторская кухня
1794,Мясные салаты
1800,Супы
1800,Авторская кухня
1800,Веганская еда
1800,Томатный суп
1801,Супы
1801,Французская кухня
1801,Веганская еда
1803,Выпечка и десерты
1803,Авторская кухня
1803,Беляши
1807,Супы
1807,Авторская кухня
1807,Вегетарианская еда
1807,Борщ
1808,Основные блюда
1808,Авторская кухня
1808,Перец фаршированный
1811,Основные блюда
1811,Мексиканская кухня
1813,Основные блюда
1815,Основные блюда
1815,Авторская кухня
1817,Основные блюда
1817,Авторская кухня
1820,Основные блюда
1820,Авторская кухня
1820,Веганская еда
1820,Запеканка
1828,Выпечка и десерты
1828,Авторская кухня
1828,Маффины
1830,Паста и пицца
1830,Авторская кухня
1831,Супы
1831,Авторская кухня
1831,Суп «Харчо»
1831,Ткемали
1833,Выпечка и десерты
1833,Авторская кухня
1833,Мороженое
1834,Супы
1834,Грузинская кухня
1834,Суп «Харчо»
1837,Основные блюда
1837,Грузинская кухня
1837,Чахохбили
1838,Выпечка и десерты
1838,Авторская кухня
1838,Шарлотка
1839,Выпечка и десерты
1839,Авторская кухня
1839,Торт «Медовик»
1841,Выпечка и десерты
1841,Авторская кухня
1841,Пироги
1844,Пошаговые рецепты
1844,Соусы и маринады
1844,Грузинская кухня
1847,Основные блюда
1862,Выпечка и десерты
1862,Авторская кухня
1862,Творожный торт
1862,Торты
1866,Основные блюда
1866,Авторская кухня
1866,Низкокалорийная еда
1866,Овощное рагу
1871,Основные блюда
1871,Французская кухня
1871,Низкокалорийная еда
1871,Рататуй
1895,Основные блюда
1895,Авторская кухня
1895,Овощное рагу
1897,Основные блюда
1897,Авторская кухня
1898,Основные блюда
1898,Авторская кухня
1898,Запеканка
1906,Выпечка и десерты
1906,Авторская кухня
1906,Низкокалорийная еда
1906,Яблочные пироги
1909,Супы
1909,Авторская кухня
1909,Тосты
1909,Грибной суп
1913,Паста и пицца
1913,Итальянская кухня
1920,Основные блюда
1920,Французская кухня
1920,Жульен
1921,Выпечка и десерты
