id,ingredients
271,Баранина
271,Горох
271,Картофель
271,Яблоко
271,Лук репчатый
271,Томатное пюре
271,Соль
271,Растительное масло
271,Черный перец горошком
271,Петрушка
271,Головизна осетровых рыб
271,Квашеная капуста
271,Коренья
271,Пшеничная мука
271,Мясо
271,Морковь
271,Рыбные консервы
271,Говяжье филе
271,Белокочанная капуста
271,Свиные копченые ребра
271,Охотничьи колбаски
271,Помидоры
271,Черный душистый перец горошком
271,Чеснок
271,Измельченный укроп
274,Рыбные консервы
274,Картофель
274,Лук репчатый
274,Соль
274,Морковь
274,Черный перец горошком
274,Вода
274,Растительное масло
274,Говядина
274,Томатная паста
274,Перец черный молотый
274,Консервированный лосось
274,Лавровый лист
274,Зелень
274,Морская соль
274,Рис
274,Сливки 10%-ные
274,Шампиньоны
274,Специи
274,Говяжье филе
274,Белокочанная капуста
274,Лисички
